,City ,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Ulladulla,90,AU,1518627600,68,-35.36,150.48,66.2,9.75
1,Damaturu,0,NG,1518631729,27,11.75,11.96,85.72,8.52
2,Lata,0,IN,1518631471,69,30.78,78.62,34.38,2.71
3,Micheweni,8,TZ,1518631730,100,-4.97,39.83,81.49,11.21
4,Dossor,0,KZ,1518631730,50,47.52,52.98,-8.42,2.93
5,Chuy,0,UY,1518631453,67,-33.69,-53.46,78.43,11.21
6,Gamba,0,CN,1518631731,57,28.28,88.52,-1.58,7.52
7,Rikitea,0,PF,1518631731,99,-23.12,-134.97,80.46,14.34
8,Hermanus,0,ZA,1518631732,74,-34.42,19.24,72.18,3.49
9,Skibbereen,40,IE,1518631200,93,51.55,-9.27,41,10.29
10,Busselton,0,AU,1518631734,100,-33.64,115.35,64.75,20.6
11,East London,75,ZA,1518630120,94,-33.02,27.91,71.6,16.11
12,Adeje,12,NG,1518631735,58,5.68,5.76,88.06,3.6
13,Buchanan,20,LR,1518629400,66,5.88,-10.05,87.8,13.87
14,Dhidhdhoo,20,MV,1518631737,99,6.88,73.1,82.66,9.75
15,Kohtla-Jarve,64,EE,1518631738,89,59.4,27.27,21.19,6.17
16,Carutapera,88,BR,1518631727,88,-1.2,-46.02,79.6,9.08
17,Casa Nova,0,BR,1518631740,44,-11.77,-39.23,88.78,12.1
18,Hualmay,8,PE,1518631740,70,-11.1,-77.61,77.08,5.5
19,Saint-Philippe,90,CA,1518628500,97,45.36,-73.48,33.28,12.75
20,Fiditi,0,NG,1518627600,46,7.71,3.92,89.6,2.24
21,Avera,90,US,1518629700,81,33.19,-82.53,56.88,3.6
22,Constantine,40,DZ,1518629400,76,36.36,6.61,48.2,10.29
23,San-Pedro,48,CI,1518631743,81,4.75,-6.64,81.49,10.98
24,Tuatapere,88,NZ,1518631565,100,-46.13,167.69,52.33,9.19
25,Dangriga,75,BZ,1518627600,78,16.97,-88.23,78.8,6.93
26,Fort Nelson,20,CA,1518627600,70,58.81,-122.69,-2.21,2.24
27,Stepnyak,76,KZ,1518631745,73,52.83,70.79,-0.05,7.63
28,Nikolskoye,0,RU,1518629400,78,59.7,30.79,15.8,2.24
29,Pasan,0,IN,1518631747,88,22.84,82.2,53.73,3.94
30,Liku,56,ID,1518631748,91,-0.73,119.89,80.28,4.94
31,Saint-Francois,0,FR,1518631200,83,46.42,3.91,39.2,5.82
32,Faya,0,SA,1518627600,68,18.39,42.45,68.94,4.94
33,Solnechnyy,0,RU,1518631749,28,50.72,136.64,-20.03,1.7
